,Name,Campaign Twitter,Personal Twitter,Official Twitter
178,Jon Baron,https://www.twitter.com/JonBaronforMD,NaN,NaN
179,Peter Franchot,https://www.twitter.com/peterfranchot,NaN,https://www.twitter.com/IAGovernor
180,Douglas F. Gansler,https://www.twitter.com/DougGansler,NaN,NaN
181,Ralph Jaffe,NaN,NaN,NaN
182,Ashwani Jain,https://www.twitter.com/JainForGov,NaN,NaN
183,John B. King Jr.,https://www.twitter.com/JohnBKing,NaN,https://www.twitter.com/GovLauraKelly
184,Wes Moore,https://www.twitter.com/iamwesmoore,NaN,NaN
185,Tom Perez,https://www.twitter.com/tomperez,NaN,NaN
186,Jerry Segal,NaN,NaN,NaN
187,Dan Cox,https://www.twitter.com/dancoxesq,NaN,NaN
188,Robin Ficker,https://www.twitter.com/robin_ficker,NaN,NaN
189,Kelly Schulz,https://www.twitter.com/kellymschulz,NaN,https://www.twitter.com/GovJanetMills
190,Joe Werner,NaN,NaN,NaN
191,Kyle Sefcik,https://www.twitter.com/kylesefcikformd,https://www.twitter.com/kylesefcik,NaN
192,David Harding,NaN,NaN,NaN
193,David Lashar,https://www.twitter.com/davidlashar,NaN,NaN
194,Nancy Wallace,https://www.twitter.com/Wallace4GovMD,NaN,NaN
195,Sonia Chang-Diaz,https://www.twitter.com/SoniaChangDiaz,NaN,NaN
196,Maura Healey,https://www.twitter.com/maura_healey,NaN,NaN
197,Geoff Diehl,https://www.twitter.com/DiehlForMA,https://www.twitter.com/RepGeoffDiehl,NaN
198,Chris Doughty,https://www.twitter.com/chrisforma,NaN,NaN
199,Kevin Reed,NaN,NaN,NaN
200,Gretchen Whitmer,NaN,https://www.twitter.com/gretchenwhitmer,NaN
201,Elizabeth Adkisson,NaN,NaN,NaN
202,Justin Blackburn,NaN,NaN,NaN
203,James Craig,https://www.twitter.com/chiefjamescraig,https://www.twitter.com/chiefjecraigdpd,NaN
204,Tudor Dixon,https://www.twitter.com/TeamTudorDixon,https://www.twitter.com/TudorDixon,NaN
205,Ryan Kelley,NaN,NaN,NaN
206,Ralph Rebandt,https://www.twitter.com/RalphRebandt,NaN,NaN
207,Kevin Rinke,https://www.twitter.com/KevinRinke,NaN,NaN
208,Garrett Soldano,https://www.twitter.com/GarrettForMI,https://www.twitter.com/GarrettSoldano,NaN
209,Evan Space,https://www.twitter.com/GovernorSpace,NaN,NaN
210,Donna Brandenburg,https://www.twitter.com/brandenburg4mi,NaN,NaN
211,Mary Buzuma,https://www.twitter.com/LPMary4gov,NaN,NaN
212,Kevin Hogan,https://www.twitter.com/KevinHo84541553,NaN,https://www.twitter.com/MassAGO
213,Daryl Simpson,https://www.twitter.com/DarylMSimpson,https://www.twitter.com/migovernor2022,NaN
214,Ole Savior,NaN,https://www.twitter.com/OleSavior,NaN
215,Tim Walz,https://www.twitter.com/Tim_Walz,NaN,NaN
216,Bob Carney Jr.,NaN,NaN,NaN
217,Scott Jensen,https://www.twitter.com/drscottjensen,NaN,https://www.twitter.com/GovWhitmer
218,Joyce Lacey,NaN,NaN,NaN
219,Loner Blue,NaN,NaN,NaN
220,Joshua Olgbolahan Jubril,NaN,NaN,NaN
221,Joyce Lacey,NaN,NaN,NaN
222,Mohamed Mourssi-Alfash,NaN,NaN,NaN
223,James McCaskel,https://www.twitter.com/JamesForMN,NaN,NaN
224,Hugh McTavish,https://www.twitter.com/McTavish4MN,NaN,NaN
225,Steve Patterson,NaN,NaN,NaN
226,Darrell Paulsen,NaN,NaN,NaN
227,Chris Wright,https://www.twitter.com/wrights4mn,NaN,NaN
228,Carol Blood,https://www.twitter.com/Blood4G,NaN,NaN
229,Roy Harris,NaN,NaN,NaN
230,Donna Nicole Carpenter,NaN,NaN,NaN
231,Michael Connely,NaN,https://www.twitter.com/connelysenate,NaN
232,Charles Herbster,https://www.twitter.com/CWHerbster,NaN,NaN
233,Brett Lindstrom,https://www.twitter.com/votelindstrom,NaN,https://www.twitter.com/GovTimWalz
234,Lela McNinch,https://www.twitter.com/LelaMcNinch,NaN,NaN
235,Jim Pillen,https://www.twitter.com/jim_pillen,NaN,NaN
236,Breland Ridenour,https://www.twitter.com/BrelandRidenour,NaN,NaN
237,Theresa Thibodeau,https://www.twitter.com/TThibodeauNE,NaN,NaN
238,Troy Wentz,NaN,NaN,NaN
239,Robert Borer,NaN,NaN,NaN
240,Dave Wright,NaN,NaN,NaN
241,Scott Zimmerman,NaN,NaN,NaN
242,Tom Collins,NaN,NaN,NaN
243,Steve Sisolak,https://www.twitter.com/SteveSisolak,NaN,NaN
244,Seven Achilles Evans,NaN,NaN,NaN
245,Gary Evertsen,NaN,NaN,NaN
246,Joey Gilbert,https://www.twitter.com/joeygilbertinc,NaN,NaN
247,Eddie Hamilton,NaN,NaN,NaN
248,Tom Heck,https://www.twitter.com/HeckforNevada,NaN,NaN
249,Dean Heller,https://www.twitter.com/DeanHeller,NaN,NaN
250,John J. Lee,https://www.twitter.com/MayorJohnLee,NaN,NaN
251,Joe Lombardo,https://www.twitter.com/JoeLombardoNV,NaN,NaN
252,Stan Lusak,NaN,NaN,https://www.twitter.com/SenBLindstrom
253,Guy Nohra,https://www.twitter.com/NohraForNevada,NaN,NaN
254,Edward O'Brien,NaN,NaN,NaN
255,Fred Simon,https://www.twitter.com/DrFredSimonMD,NaN,NaN
256,William Walls,NaN,NaN,NaN
257,Amber Whitley,NaN,NaN,NaN
258,Barak Zilberberg,https://www.twitter.com/ZilberbergBarak,NaN,NaN
259,Edward Bridges II,NaN,NaN,NaN
260,Brandon Davis,https://www.twitter.com/bdavis4liberty,NaN,NaN
261,Tom Sherman,https://www.twitter.com/TomShermanNH,NaN,NaN
262,Julian Acciard,https://www.twitter.com/acciard2022,https://www.twitter.com/JulianAcciard,NaN
263,Jay Lewis,NaN,NaN,https://www.twitter.com/GovSisolak
264,Richard McMenamon II,NaN,NaN,NaN
265,Thaddeus Riley,https://www.twitter.com/thadforgovernor,NaN,NaN
266,Chris Sununu,NaN,NaN,NaN
267,Karen Testerman,https://www.twitter.com/KarenTesterman,NaN,NaN
268,Karlyn Borysenko,https://www.twitter.com/DrKarlynB,NaN,NaN
269,Kelly Halldorson,https://www.twitter.com/Kelly4Governor,NaN,NaN
270,Michelle Lujan Grisham,https://www.twitter.com/Michelle4NM,NaN,NaN
271,Jay Block,https://www.twitter.com/Electjaycblock,NaN,NaN
272,Rebecca Dow,https://www.twitter.com/dowfornm,NaN,NaN
273,Ethel Maharg,https://www.twitter.com/ethel_maharg,NaN,NaN
274,Mark Ronchetti,https://www.twitter.com/MarkRonchettiNM,NaN,NaN
275,Greg Zanetti,https://www.twitter.com/greg_zanetti,NaN,NaN
